,timestamp,open,high,low,close,volume
0,2022-02-28 19:55:00,51.278,51.401,51.221,51.328,28877
1,2022-02-28 19:50:00,51.14,51.332,51.084,51.24,21663
2,2022-02-28 19:45:00,51.602,51.647,51.045,51.073,59123
3,2022-02-28 19:40:00,51.671,51.745,51.545,51.584,21591
4,2022-02-28 19:35:00,51.69,51.755,51.614,51.633,8697
5,2022-02-28 19:30:00,51.818,51.833,51.614,51.691,4274
6,2022-02-28 19:25:00,51.739,51.833,51.683,51.741,27091
7,2022-02-28 19:20:00,51.798,51.814,51.663,51.691,11874
8,2022-02-28 19:15:00,51.848,51.863,51.722,51.76,4479
9,2022-02-28 19:10:00,51.651,51.745,51.565,51.691,25219
10,2022-02-28 19:05:00,51.808,51.833,51.584,51.613,18091
11,2022-02-28 19:00:00,51.887,51.932,51.751,51.79,26249
12,2022-02-28 18:55:00,51.897,51.991,51.81,51.829,21002
13,2022-02-28 18:50:00,51.759,51.981,51.702,51.888,24251
14,2022-02-28 18:45:00,51.779,51.794,51.673,51.721,6050
15,2022-02-28 18:40:00,51.789,51.814,51.702,51.731,7991
16,2022-02-28 18:35:00,51.73,51.902,51.673,51.78,35823
17,2022-02-28 18:30:00,51.582,51.765,51.526,51.682,35784
18,2022-02-28 18:25:00,51.602,51.617,51.486,51.515,21162
19,2022-02-28 18:20:00,51.474,51.627,51.418,51.515,10965
20,2022-02-28 18:15:00,51.455,51.578,51.359,51.417,11627
21,2022-02-28 18:10:00,51.464,51.489,51.29,51.377,15306
22,2022-02-28 18:05:00,51.464,51.529,51.359,51.426,39013
23,2022-02-28 18:00:00,51.356,51.47,51.241,51.377,20239
24,2022-02-28 17:55:00,51.337,51.372,51.221,51.318,25833
25,2022-02-28 17:50:00,51.278,51.352,51.221,51.289,10962
26,2022-02-28 17:45:00,51.278,51.313,51.192,51.24,14128
27,2022-02-28 17:40:00,51.307,51.322,51.192,51.26,2910
28,2022-02-28 17:35:00,51.239,51.293,51.182,51.24,8821
29,2022-02-28 17:30:00,51.258,51.293,51.153,51.24,8361
30,2022-02-28 17:25:00,51.288,51.322,51.202,51.22,6566
31,2022-02-28 17:20:00,51.347,51.381,51.231,51.25,6945
32,2022-02-28 17:15:00,51.347,51.362,51.27,51.309,5415
33,2022-02-28 17:10:00,51.337,51.381,51.27,51.289,6100
34,2022-02-28 17:05:00,51.415,51.431,51.27,51.289,6906
35,2022-02-28 17:00:00,51.405,51.44,51.319,51.387,12020
36,2022-02-28 16:55:00,51.426,51.46,51.339,51.387,23820
37,2022-02-28 16:50:00,51.435,51.48,51.378,51.397,9815
38,2022-02-28 16:45:00,51.464,51.489,51.369,51.397,13596
39,2022-02-28 16:40:00,51.464,51.48,51.378,51.417,17854
40,2022-02-28 16:35:00,51.455,51.481,51.369,51.427,12201
41,2022-02-28 16:30:00,51.435,51.509,51.369,51.417,28048
42,2022-02-28 16:25:00,51.396,51.44,51.29,51.387,28527
43,2022-02-28 16:20:00,51.445,51.47,51.349,51.368,37824
44,2022-02-28 16:15:00,51.425,51.529,51.369,51.407,14373
45,2022-02-28 16:10:00,51.376,51.548,51.29,51.387,48141
46,2022-02-28 16:05:00,51.543,51.607,51.231,51.338,69497
47,2022-02-28 16:00:00,51.612,51.637,51.319,51.485,362675
48,2022-02-28 15:55:00,51.229,51.686,51.064,51.554,2995614
49,2022-02-28 15:50:00,50.62,51.283,50.559,51.191,3323454
50,2022-02-28 15:45:00,50.217,50.782,50.142,50.572,2375212
51,2022-02-28 15:40:00,49.524,50.312,49.47,50.18,1650808
52,2022-02-28 15:35:00,49.775,49.799,49.337,49.483,1316611
53,2022-02-28 15:30:00,50.237,50.251,49.71,49.738,1335428
54,2022-02-28 15:25:00,50.305,50.507,50.094,50.196,1114442
55,2022-02-28 15:20:00,49.863,50.463,49.794,50.268,1449154
56,2022-02-28 15:15:00,49.578,50.006,49.455,49.817,939995
57,2022-02-28 15:10:00,49.775,49.858,49.357,49.532,604634
58,2022-02-28 15:05:00,49.844,49.898,49.298,49.766,1068324
59,2022-02-28 15:00:00,49.942,50.016,49.73,49.807,881072
60,2022-02-28 14:55:00,49.706,50.104,49.612,49.905,1227441
61,2022-02-28 14:50:00,49.627,49.76,49.426,49.669,775767
62,2022-02-28 14:45:00,49.794,49.863,49.386,49.601,1079216
63,2022-02-28 14:40:00,49.136,49.917,49.053,49.758,1346116
64,2022-02-28 14:35:00,49.206,49.573,49.004,49.102,1076829
65,2022-02-28 14:30:00,49.284,49.455,49.023,49.154,988124
66,2022-02-28 14:25:00,49.097,49.401,49.014,49.238,942522
67,2022-02-28 14:20:00,49.637,49.662,48.985,49.051,1046267
68,2022-02-28 14:15:00,49.392,49.672,49.161,49.591,1440687
69,2022-02-28 14:10:00,49.205,49.475,49.043,49.365,1586296
70,2022-02-28 14:05:00,49.716,49.809,49.112,49.179,1646050
71,2022-02-28 14:00:00,50.58,50.595,49.592,49.679,1385050
72,2022-02-28 13:55:00,50.718,50.792,50.373,50.553,871044
73,2022-02-28 13:50:00,50.453,50.9,50.388,50.671,1376233
74,2022-02-28 13:45:00,50.325,50.487,50.054,50.425,965725
75,2022-02-28 13:40:00,50.453,50.605,50.191,50.289,918143
76,2022-02-28 13:35:00,50.266,50.536,50.083,50.415,844374
77,2022-02-28 13:30:00,50.369,50.556,50.044,50.219,1331995
78,2022-02-28 13:25:00,50.05,50.497,49.98,50.337,1318021
79,2022-02-28 13:20:00,50.197,50.251,49.877,50.028,824532
80,2022-02-28 13:15:00,50.826,50.88,50.093,50.17,1437631
81,2022-02-28 13:10:00,50.895,51.06,50.721,50.784,898131
82,2022-02-28 13:05:00,50.58,50.929,50.466,50.858,1085958
83,2022-02-28 13:00:00,50.256,50.674,50.142,50.533,1395966
84,2022-02-28 12:55:00,49.961,50.3,49.789,50.229,989336
85,2022-02-28 12:50:00,50.119,50.192,49.769,49.925,863598
86,2022-02-28 12:45:00,50.03,50.163,49.769,50.087,1088767
87,2022-02-28 12:40:00,50.227,50.369,49.965,50.013,1473551
88,2022-02-28 12:35:00,50.61,50.664,50.152,50.197,1074040
89,2022-02-28 12:30:00,50.698,50.831,50.358,50.543,964249
90,2022-02-28 12:25:00,50.571,50.752,50.485,50.661,879071
91,2022-02-28 12:20:00,50.826,50.979,50.427,50.533,1535450
92,2022-02-28 12:15:00,50.826,50.861,50.554,50.788,1143365
93,2022-02-28 12:10:00,51.072,51.126,50.608,50.779,1574347
94,2022-02-28 12:05:00,51.808,51.843,50.956,51.034,1694598
95,2022-02-28 12:00:00,51.862,52.03,51.692,51.77,758884
96,2022-02-28 11:55:00,51.7,51.971,51.633,51.829,801581
97,2022-02-28 11:50:00,51.666,51.784,51.516,51.662,1007139
98,2022-02-28 11:45:00,51.898,51.981,51.457,51.626,1156169
99,2022-02-28 11:40:00,51.848,52.0,51.653,51.858,863136
100,2022-02-28 11:35:00,52.005,52.118,51.741,51.814,1185322
101,2022-02-28 11:30:00,51.946,52.261,51.84,51.966,1951413
102,2022-02-28 11:25:00,51.897,52.089,51.702,51.912,1749845
103,2022-02-28 11:20:00,51.572,51.932,51.506,51.858,1283139
104,2022-02-28 11:15:00,51.199,51.745,51.084,51.544,1300902
105,2022-02-28 11:10:00,51.337,51.48,51.074,51.152,798964
106,2022-02-28 11:05:00,51.553,51.588,51.153,51.299,983557
107,2022-02-28 11:00:00,51.425,51.696,51.241,51.525,1222246
108,2022-02-28 10:55:00,51.258,51.647,51.202,51.387,1250066
109,2022-02-28 10:50:00,51.18,51.489,51.005,51.211,1244126
110,2022-02-28 10:45:00,51.425,51.617,51.104,51.142,1371620
111,2022-02-28 10:40:00,51.032,51.548,50.868,51.387,2103696
112,2022-02-28 10:35:00,50.404,51.057,50.319,50.995,1647867
113,2022-02-28 10:30:00,50.109,50.664,50.024,50.366,1311162
114,2022-02-28 10:25:00,49.981,50.329,49.74,50.072,1102916
115,2022-02-28 10:20:00,49.626,50.114,49.553,49.954,1435720
116,2022-02-28 10:15:00,49.618,49.79,49.397,49.581,1274851
117,2022-02-28 10:10:00,49.942,50.049,49.435,49.581,1400600
118,2022-02-28 10:05:00,50.089,50.271,49.72,49.91,1555239
119,2022-02-28 10:00:00,50.659,50.802,49.965,50.052,1995827
120,2022-02-28 09:55:00,50.237,50.694,50.083,50.617,2624162
121,2022-02-28 09:50:00,49.961,50.517,49.583,50.209,2244255
122,2022-02-28 09:45:00,49.598,50.183,49.465,49.924,1881078
123,2022-02-28 09:40:00,49.775,50.006,49.337,49.561,2398128
124,2022-02-28 09:35:00,50.119,50.32,49.612,49.738,2704594
125,2022-02-28 09:30:00,49.564,50.281,49.406,50.072,2407916
126,2022-02-28 09:25:00,49.372,49.602,49.318,49.512,77687
127,2022-02-28 09:20:00,49.51,49.524,49.288,49.306,65206
128,2022-02-28 09:15:00,49.49,49.642,49.406,49.444,106473
129,2022-02-28 09:10:00,49.392,49.514,49.21,49.385,65845
130,2022-02-28 09:05:00,49.303,49.406,49.19,49.345,65142
131,2022-02-28 09:00:00,49.097,49.357,48.925,49.267,101632
132,2022-02-28 08:55:00,49.146,49.22,48.454,49.061,42239
133,2022-02-28 08:50:00,49.009,49.347,48.935,49.139,84840
134,2022-02-28 08:45:00,48.94,49.033,48.788,48.982,74302
135,2022-02-28 08:40:00,48.842,49.072,48.739,48.884,103181
136,2022-02-28 08:35:00,49.018,49.053,48.807,48.825,107019
137,2022-02-28 08:30:00,49.293,49.426,48.906,48.972,80712
138,2022-02-28 08:25:00,49.225,49.318,49.043,49.247,67083
139,2022-02-28 08:20:00,49.264,49.279,49.082,49.179,40999
140,2022-02-28 08:15:00,49.156,49.308,49.082,49.188,53563
141,2022-02-28 08:10:00,49.254,49.357,49.102,49.12,63728
142,2022-02-28 08:05:00,49.206,49.328,49.072,49.208,61943
143,2022-02-28 08:00:00,49.588,49.799,47.463,49.169,389161
144,2022-02-28 07:55:00,49.716,49.731,49.014,49.257,110704
145,2022-02-28 07:50:00,49.608,49.77,49.504,49.679,33680
146,2022-02-28 07:45:00,49.598,49.74,49.416,49.601,27062
147,2022-02-28 07:40:00,49.657,49.809,49.406,49.512,56443
148,2022-02-28 07:35:00,49.588,49.76,49.475,49.62,82802
